,Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
823,Eswatini,SWZ,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,26.875,26.875,26.875,26.875,33.125,33.125,33.125,33.125,33.125,33.125,33.125,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,46.25,46.25
832,Ethiopia,ETH,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04841713221601,2.04841713221601,2.02578268876611,7.69230769230769,7.6782449725777,7.6782449725777,7.6782449725777,7.6782449725777,21.4285714285714,21.9281663516068,21.9281663516068,21.9281663516068,21.9281663516068,27.7879341864717,27.7879341864717,27.7879341864717,27.7879341864717,27.7879341864717,38.7568555758684,38.7568555758684,38.7568555758684,38.7568555758684,38.7568555758684,38.7568555758684
836,Ethiopia,ETH,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,44.375,44.375,44.375,44.375,44.375,44.375,44.375,44.375,44.375,44.375,44.375,44.375,44.375,44.375,44.375,44.375,44.375,44.375,44.375,44.375,44.375,44.375,44.375,50,50,50,50,50,50,50,50,63.125,63.125,63.125,63.125,65.625,65.625,65.625,65.625,65.625,65.625,65.625,71.875,71.875,71.875,71.875,71.875,71.875,71.875,71.875,76.875
845,Faroe Islands,FRO,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,Faroe Islands,FRO,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,Fiji,FJI,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28571428571429,4.28571428571429,11.2676056338028,,5.71428571428571,5.71428571428571,5.71428571428571,8.45070422535211,8.45070422535211,,,,,,,,,14,16,16,16,19.6078431372549,19.6078431372549,19.6078431372549
862,Fiji,FJI,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,57.5,57.5,57.5,57.5,57.5,60,60,60,60,71.875,71.875,74.375,74.375,74.375,74.375,74.375,74.375,74.375,74.375,74.375,79.375,82.5
871,Finland,FIN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,33.5,37,36.5,36.5,36.5,37.5,37.5,37.5,38,41.5,41.5,40,40,42.5,42.5,42.5,42.5,41.5,41.5,42,42,47,46
875,Finland,FIN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,65.625,65.625,65.625,65.625,65.625,68.125,68.125,68.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,76.25,79.375,79.375,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,85,85,85,85,85,88.125,94.375,94.375,94.375,94.375,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5
884,France,FRA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9185441941075,10.9185441941075,10.9185441941075,10.9185441941075,10.9185441941075,12.1317157712305,12.1951219512195,12.1951219512195,12.1951219512195,12.1951219512195,18.1975736568458,18.1975736568458,18.8908145580589,18.8908145580589,18.8908145580589,26.8630849220104,26.8630849220104,26.1698440207972,26.1698440207972,26.1698440207972,38.9948006932409,39.5833333333333,39.6880415944541,39.5147313691508
888,France,FRA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,53.75,56.25,56.25,59.375,59.375,59.375,62.5,62.5,62.5,62.5,62.5,62.5,62.5,65.625,65.625,65.625,73.75,73.75,76.875,76.875,76.875,76.875,76.875,86.25,86.25,86.25,86.25,86.25,86.25,86.25,86.25,89.375,89.375,89.375,91.875,91.875,94.375,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,100,100,100,100,100,100
897,French Polynesia,PYF,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,French Polynesia,PYF,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Gabon,GAB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33333333333333,8.33333333333333,8.33333333333333,9.16666666666667,9.16666666666667,9.2436974789916,9.2436974789916,9.2436974789916,9.2436974789916,12.5,16.6666666666667,16.6666666666667,14.6551724137931,14.6551724137931,14.1666666666667,15.7894736842105,15.7894736842105,15,14.1666666666667,14.1666666666667,17.0940170940171,,17.910447761194,14.7887323943662
914,Gabon,GAB,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,43.125,43.125,43.125,43.125,43.125,43.125,43.125,43.125,43.125,43.125,43.125,43.125,45.625,45.625,45.625,45.625,45.625,45.625,45.625,45.625,45.625,45.625,45.625,45.625,45.625,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,57.5,57.5,57.5,57.5
923,"Gambia, The",GMB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04081632653061,2.04081632653061,2.04081632653061,2.04081632653061,2.04081632653061,5.66037735849057,13.2075471698113,13.2075471698113,13.2075471698113,13.2075471698113,9.43396226415094,9.43396226415094,7.54716981132075,7.54716981132075,7.54716981132075,7.54716981132075,7.54716981132075,9.43396226415094,9.43396226415094,9.43396226415094,10.3448275862069,10.3448275862069,10.3448275862069,8.62068965517241
927,"Gambia, The",GMB,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,55.625,55.625,55.625,55.625,55.625,55.625,55.625,55.625,55.625,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,61.25,61.25,61.25,71.875,71.875,71.875,74.375,74.375,74.375,74.375,74.375,74.375,74.375
936,Georgia,GEO,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.92640692640693,6.92640692640693,,7.23404255319149,7.23404255319149,7.23404255319149,7.23404255319149,9.36170212765957,9.36170212765957,9.36170212765957,9.36170212765957,6,5.10948905109489,6.52173913043478,6.56934306569343,12,12,12,11.3333333333333,16,16,16,14.7651006711409,20.6666666666667
940,Georgia,GEO,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,53.125,50,52.5,52.5,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,64.375,64.375,66.875,66.875,66.875,66.875,70,70,70,73.125,79.375,79.375,79.375,79.375,79.375,85.625,85.625
949,Germany,DEU,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1904761904762,26.1904761904762,30.9417040358744,30.9417040358744,31.0810810810811,32.1724709784411,32.1724709784411,32.75,31.7589576547231,31.5960912052117,31.6476345840131,32.1895424836601,32.7974276527331,32.7974276527331,32.9032258064516,32.9032258064516,36.4500792393027,36.4500792393027,36.4500792393027,36.4500792393027,30.7475317348378,30.7475317348378,30.8885754583921,31.1706629055007
953,Germany,DEU,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,65,65,65,65,65,65,65,68.125,68.125,68.125,68.125,68.125,68.125,68.125,68.125,68.125,73.75,73.75,73.75,73.75,73.75,73.75,73.75,73.75,73.75,76.875,76.875,76.875,76.875,76.875,76.875,76.875,79.375,79.375,79.375,79.375,79.375,91.25,91.25,94.375,94.375,94.375,94.375,94.375,94.375,94.375,94.375,94.375,97.5,97.5,97.5
962,Ghana,GHA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,,9,9,9,10.8695652173913,10.8695652173913,10.8695652173913,10.8695652173913,7.89473684210526,8.26086956521739,8.26086956521739,8.26086956521739,,10.9090909090909,10.9090909090909,10.9090909090909,10.9090909090909,12.7272727272727,12.7272727272727,13.0909090909091,13.0909090909091
966,Ghana,GHA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,46.25,46.25,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,54.375,54.375,54.375,54.375,54.375,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,72.5,72.5,72.5,75,75,75,75,75,75,75,75,75,75,75,75,75,75
975,Gibraltar,GIB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,Gibraltar,GIB,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Greece,GRC,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33333333333333,6.33333333333333,6.33333333333333,8.66666666666667,8.66666666666667,8.66666666666667,8.66666666666667,14,13,13,14.6666666666667,14.6666666666667,17.3333333333333,17.3333333333333,18.6666666666667,21,21,21,19.6666666666667,19.6666666666667,18.3333333333333,18.6666666666667,20.6666666666667,21.6666666666667
992,Greece,GRC,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,61.875,67.5,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,85,85,85,88.125,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5
1001,Greenland,GRL,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Greenland,GRL,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Grenada,GRD,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,,26.6666666666667,26.6666666666667,26.6666666666667,26.6666666666667,26.6666666666667,26.6666666666667,26.6666666666667,26.6666666666667,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,46.6666666666667,46.6666666666667,46.6666666666667
1018,Grenada,GRD,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,45.625,45.625,45.625,50.625,53.75,53.75,53.75,53.75,53.75,53.75,53.75,56.25,56.25,65.625,65.625,65.625,65.625,65.625,65.625,65.625,65.625,65.625,65.625,65.625,65.625,65.625,65.625,65.625,65.625,65.625,75,75,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,80.625,80.625
1027,Guam,GUM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,Guam,GUM,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,Guatemala,GTM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,7.07964601769912,8.84955752212389,8.84955752212389,8.84955752212389,8.22784810126582,8.22784810126582,8.22784810126582,8.22784810126582,12.0253164556962,12.0253164556962,12.0253164556962,12.0253164556962,13.2911392405063,13.2911392405063,13.2911392405063,13.2911392405063,13.9240506329114,13.9240506329114,12.6582278481013,12.6582278481013,19.375,19.375
1044,Guatemala,GTM,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,55,57.5,57.5,57.5,60,60,65,68.125,68.125,68.125,68.125,68.125,68.125,68.125,68.125,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625
1053,Guinea,GIN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.01754385964912,8.7719298245614,8.7719298245614,8.7719298245614,8.7719298245614,,19.2982456140351,19.2982456140351,19.2982456140351,19.2982456140351,19.2982456140351,,,,,,,21.9298245614035,21.9298245614035,21.9298245614035,21.9298245614035,21.9298245614035,22.8070175438596,16.6666666666667
1057,Guinea,GIN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,61.875,61.875,61.875,65,65,76.25,76.25
1066,Guinea-Bissau,GNB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,7.84313725490196,7.84313725490196,7.84313725490196,,14,14,14,14,10,10,10,10,14,14,13.7254901960784,13.7254901960784,13.7254901960784,13.7254901960784,13.7254901960784,13.7254901960784,13.7254901960784
1070,Guinea-Bissau,GNB,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,42.5,42.5,42.5,42.5,42.5,42.5,42.5
1079,Guyana,GUY,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4615384615385,18.4615384615385,18.4615384615385,20,20,30.7692307692308,30.7692307692308,28.9855072463768,28.9855072463768,30,30,30,31.3432835820896,31.3432835820896,31.3432835820896,31.3432835820896,30.4347826086957,30.4347826086957,31.8840579710145,31.8840579710145,31.8840579710145,35.7142857142857
1083,Guyana,GUY,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,60.625,60.625,60.625,60.625,60.625,60.625,60.625,60.625,60.625,60.625,60.625,60.625,60.625,60.625,60.625,60.625,60.625,60.625,60.625,63.75,63.75,66.25,66.25,66.25,66.25,66.25,66.25,71.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875
1092,Haiti,HTI,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6144578313253,3.6144578313253,3.6144578313253,,3.6144578313253,3.6144578313253,3.6144578313253,3.6144578313253,3.6144578313253,2.04081632653061,4.08163265306122,4.08163265306122,4.08163265306122,11.1111111111111,4.21052631578947,4.21052631578947,4.21052631578947,4.21052631578947,4.21052631578947,0,2.54237288135593,2.54237288135593,2.54237288135593,
1096,Haiti,HTI,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,55,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,63.75,63.75,63.75,63.75
1105,Honduras,HND,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.375,9.375,9.375,9.375,5.46875,5.46875,5.46875,23.4375,23.4375,23.4375,23.4375,17.96875,17.96875,19.53125,19.53125,,25.78125,25.78125,25.78125,,21.09375,21.09375,21.09375
1109,Honduras,HND,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,48.75,48.75,51.875,51.875,51.875,51.875,51.875,51.875,51.875,51.875,51.875,51.875,51.875,51.875,51.875,54.375,54.375,54.375,54.375,54.375,54.375,54.375,54.375,54.375,54.375,54.375,54.375,63.125,63.125,63.125,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,69.375,69.375,69.375,69.375,69.375,75,75,75,75,75,75,75,75
1118,"Hong Kong SAR, China",HKG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,"Hong Kong SAR, China",HKG,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,62.5,62.5,62.5,71.875,71.875,71.875,71.875,71.875,71.875,71.875,71.875,71.875,71.875,71.875,71.875,71.875,71.875,74.375,74.375,74.375,74.375,74.375,74.375,74.375,74.375,74.375,83.75,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,86.875,89.375,89.375,89.375,89.375,89.375,89.375
1131,Hungary,HUN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3989637305699,8.29015544041451,8.29015544041451,8.29015544041451,8.29015544041451,9.06735751295337,9.84455958549223,9.09090909090909,9.09090909090909,10.3626943005181,11.139896373057,11.139896373057,11.139896373057,9.06735751295337,8.80829015544041,8.80829015544041,8.80829015544041,10.0502512562814,10.1010101010101,10.1010101010101,10.0502512562814,12.5628140703518,12.5628140703518,12.0603015075377
1135,Hungary,HUN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,66.875,66.875,66.875,66.875,66.875,66.875,66.875,66.875,66.875,66.875,66.875,66.875,66.875,66.875,66.875,66.875,66.875,66.875,66.875,66.875,70,70,69.375,69.375,69.375,69.375,69.375,69.375,69.375,69.375,69.375,69.375,69.375,69.375,75.625,75.625,81.875,81.875,81.875,91.25,93.75,93.75,96.875,96.875,96.875,96.875,96.875,96.875,96.875,96.875,96.875
1144,Iceland,ISL,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3968253968254,25.3968253968254,34.9206349206349,34.9206349206349,34.9206349206349,34.9206349206349,30.1587301587302,30.1587301587302,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,42.8571428571429,42.8571428571429,39.6825396825397,39.6825396825397,39.6825396825397,39.6825396825397,41.2698412698413,47.6190476190476,38.0952380952381,38.0952380952381,38.0952380952381,38.0952380952381
1148,Iceland,ISL,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,66.25,66.25,66.25,66.25,66.25,69.375,75,75,75,75,75,75,75,75,75,78.125,78.125,80.625,85.625,85.625,85.625,85.625,85.625,85.625,85.625,85.625,85.625,85.625,88.125,88.125,94.375,94.375,94.375,94.375,94.375,94.375,94.375,94.375,94.375,94.375,94.375,94.375,96.875,96.875,96.875,96.875,100,100,100,100,100
1157,India,IND,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15596330275229,8.10313075506446,8.44036697247707,9.00735294117647,8.83977900552486,8.83977900552486,8.83977900552486,8.25688073394496,8.28729281767956,8.25688073394496,9.05730129390018,9.05730129390018,10.8256880733945,10.8256880733945,11.0091743119266,11.0091743119266,11.0091743119266,11.4180478821363,11.9705340699816,11.9705340699816,11.8081180811808,11.8081180811808,14.3911439114391,14.3646408839779
1161,India,IND,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,51.875,51.875,51.875,51.875,51.875,51.875,51.875,51.875,51.875,51.875,51.875,51.875,51.875,51.875,51.875,51.875,51.875,51.875,55,55,55,55,55,55,55,60,60,60,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,68.75,68.75,68.75,68.75,71.25,74.375,74.375,74.375
1170,Indonesia,IDN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,11.4,,8,8,8,8,11.2727272727273,11.2727272727273,11.2727272727273,11.6363636363636,11.6363636363636,17.8571428571429,18.0357142857143,18.2142857142857,18.5714285714286,18.5714285714286,16.9369369369369,17.1171171171171,17.1171171171171,19.8214285714286,19.8214285714286,17.3913043478261,20.3478260869565
1174,Indonesia,IDN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,20.625,20.625,20.625,20.625,41.25,41.25,41.25,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,50,50,50,50,50,59.375,61.875,64.375,64.375,64.375,64.375,64.375,64.375,64.375,64.375,64.375,64.375,64.375,64.375,64.375,64.375,64.375,64.375
1183,"Iran, Islamic Rep.",IRN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.88721804511278,4.88721804511278,4.88721804511278,3.44827586206897,3.44827586206897,4.13793103448276,4.13793103448276,4.13793103448276,4.13793103448276,4.13793103448276,4.13793103448276,2.7972027972028,2.75862068965517,2.75862068965517,2.75862068965517,3.10344827586207,3.10344827586207,3.10344827586207,3.10344827586207,5.88235294117647,5.88235294117647,5.88235294117647,5.88235294117647,5.59440559440559
1187,"Iran, Islamic Rep.",IRN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,29.375,29.375,29.375,29.375,29.375,29.375,29.375,29.375,29.375,29.375,29.375,29.375,29.375,29.375,29.375,29.375,29.375,29.375,29.375,29.375,29.375,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,28.75,28.75,28.75,28.75,28.75,28.75,31.25,31.25,31.25,31.25,31.25,31.25,31.25
1196,Iraq,IRQ,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,6.4,6.4,7.6,7.6,7.6,,,,25.4545454545455,25.4545454545455,25.4545454545455,25.4545454545455,25.2307692307692,25.2307692307692,25.2307692307692,25.2307692307692,25.3048780487805,26.5243902439024,26.5243902439024,25.3048780487805,25.2279635258359,25.2279635258359,26.4437689969605
1200,Iraq,IRQ,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,26.875,26.875,26.875,26.875,26.875,26.875,26.875,26.875,26.875,26.875,26.875,26.875,26.875,26.875,26.875,26.875,26.875,26.875,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,45,45,45,45,45
1209,Ireland,IRL,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0481927710843,12.0481927710843,12.0481927710843,12.0481927710843,12.0481927710843,13.2530120481928,13.2530120481928,13.2530120481928,13.2530120481928,13.2530120481928,13.2530120481928,13.2530120481928,13.9393939393939,13.9393939393939,15.0602409638554,15.0602409638554,15.6626506024096,15.6626506024096,16.2650602409639,22.1518987341772,22.1518987341772,22.1518987341772,22.1518987341772,22.5
1213,Ireland,IRL,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,55,55,55,55,55,58.125,58.125,60.625,63.75,63.75,63.75,69.375,71.875,71.875,71.875,71.875,71.875,75,75,75,75,75,75,75,78.125,78.125,83.125,85.625,85.625,91.875,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,97.5,97.5,97.5,100
